name,code_number,article_number,manufacturer,description,price
"Пакеты Bubble Bong с воздушной подушкой, G/4, 260х350/240х340, беленый крафт, отрывная лента, 100гр/м2, (100шт/упк)",A29931,12221,Постак,"Изготовлены из беленого крафта плотностью 100 г/м2.  Полиэтиленовая воздушно-пузырьковая пленка внутри. Отрывная лента и термоплавкий клей на клапане с высокой силой склеивания. Используются для отправки бьющихся предметов, требующих надежной защиты от ударов, падений и другого небрежного обращения. Внешний размер 260х350, внутренний размер 240х340 мм",25.51
"Бумага для заметок статическая, маркерная, 75х50мм, зеленая, 100л",00-00024581,I532603,INDEX,"Бумага для заметок статическая, маркерная, 75х50мм, зеленая, 100л",25.54
"Бумага для заметок статическая, маркерная, 75х50мм, белая, 100л",00-00024582,I532600,INDEX,"Бумага для заметок статическая, маркерная, 75х50мм, белая, 100л",25.54
"Бумага для заметок статическая, маркерная, 75х50мм, желтая, 100л",00-00024579,I532601,INDEX,"Бумага для заметок статическая, маркерная, 75х50мм, желтая, 100л",25.54
"Бумага масштабно-координатная ACTION!, А4, 16 листов, голубая сетка",A27178,AGP-4/16,Action!,"Предназначена для чертежных и графических работ. Бумага плотностью 65 г/м2. Лист с миллиметровой голубой сеткой. Формат А4, 16 листов",26.13
"Блокнот офисный, ф.А7, 40л, спираль, клетка, пластиковая обложка",A19629,IN0201-A740,INDEX,"Блокнот офисный, ф.А7, 40л, спираль, клетка, пластиковая обложка",26.45
"Набор цветного картона FANCY ф.А4, 8цв., 8л., 2 дизайна",A16606,FCC-8/8,Action!,"Набор цветного картона FANCY ф.А4, 8цв., 8л., 2 дизайна",26.55
"Блокнот INDEX, серия Office classic, красный, на гребне, ф. А5, ламиниров. обл., 40 л., (INDEX)",A16419,INLcl-5/40r,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А5, 40 листов. Цвет - красный",27.3
"Блокнот INDEX, серия Office classic, зеленый, на гребне, ф. А5, ламиниров. обл., 40 л., (INDEX)",A16421,INLcl-5/40gr,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А5, 40 листов. Цвет - зеленый",27.3
"Блокнот NOTEBOOK ОФИС, на гребне, кл., ф. А6, 80л. 006988",A02798,80ЗК6-гр/ОФ,ХАТБЕР,Обложка - мелованный картон.  Внутренний блок  - офсет плотностью 60 г/м2. Крепление - гребень. Формат А6. 80 листов. Клетка,27.51
"Этикетка для этикет-пистолета 22х12 мм, белая, 800 шт./рул.",F02043,SPT800W,SPONSOR,В рулоне. Прямоугольные этикетки. Цвет - белый. Размер 22х12 мм. 800 шт/рул,27.59
Термолента 57 ммх40x12 (В),A22635,574012,Новотрейд,"Изготовлена из термобумаги. Ширина ролика - 57 мм, наружный диаметр ролика - 27 мм, внутренний диаметр втулки - 12 мм, длина намотки - 40 м.",28.03
Термолента 44 ммх40х12 (А),A27426,ТЛ44Х40/K,Новотрейд,"Изготовлена из термобумаги. Ширина ролика - 44 мм, наружный диаметр ролика - 32 мм, внутренний диаметр втулки - 12 мм, длина намотки - 40 м.",28.11
"Этикет-лента 21.5х12, прямоугольная, зеленая, 800 шт/рул",F11463,ЭТ 21.5х12зел,Новотрейд,"В рулоне. Прямоугольные этикетки. Цвет - зеленый. Размер 21,5х12 мм. 800 шт/рул",28.33
"Бумага масштабно-координатная ACTION!, А3, 8 листов, голубая сетка",A27179,AGP-3/8,Action!,"Предназначена для чертежных и графических работ. Бумага плотностью 65 г/м2. Лист с миллиметровой голубой сеткой. Формат А3, 8 листов",28.44
"Набор белого мелованного картона ACTION! РОМАНТИКА ф. А4, 8 л.,2 диз.",00-00006724,AWP-8/8-4,Action!,"Набор белого мелованного картона ACTION! РОМАНТИКА ф. А4, 8 л.,2 диз.",28.61
"Этикет-лента 26х12, волнообразная, белая, 800 шт/рул, универс.",F12116,ЭТ 26х12/вол/бел/800,Новотрейд,"В рулоне. Волнообразные этикетки. Цвет - белый. Размер 26х12 мм, 800 шт/рул",29.02
"Блокнот INDEX, cерия colourplay, на гребне, фиолетовый, кл., ламиниров. обл., ф. А5, 40 л.",A16581,INLcp-5/40v,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А5, цвет - фиолетовый",29.87
"Блокнот INDEX, cерия colourplay, на гребне, синий, кл., ламиниров. обл., ф. А5, 40 л.",A16579,INLcp-5/40bu,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А5, цвет - синий",29.87
"Блокнот INDEX, cерия colourplay, на гребне, оранж., кл., ламиниров. обл., ф. А5, 40 л.",A16577,INLcp-5/40or,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А5, цвет - оранжевый",29.87
"Блокнот INDEX, cерия colourplay, на гребне, лиловый, кл., ламиниров. обл., ф. А5, 40 л.",A16576,INLcp-5/40p,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А5, цвет - лиловый",29.87
"Блокнот ULTIMATE BASICS, склейка, синий, кл.,ф. А6, 60 л.|1",A16981,3-60-454,АЛЬТ,"Блокнот ULTIMATE BASICS, склейка, синий, кл.,ф. А6, 60 л.|1",29.94
"Этикетка для этикет-пистолета 22х12 мм, желтая, 800 шт./рул.",C19177,SPT800C/YL,SPONSOR,В рулоне. Прямоугольные этикетки.Цвет - желтый. Размер 22х12 мм. 800 шт/рул,29.98
"Этикетка для этикет-пистолета 22х12 мм, оранжевая, 800 шт./рул.",C19176,SPT800C/OR,SPONSOR,В рулоне. Прямоугольные этикетки.  Цвет - оранжевый. Размер 22х12 мм. 800 шт/рул,29.98
"Этикетка для этикет-пистолета 22х12 мм, зеленая, 800 шт./рул.",C19175,SPT800C/GN,SPONSOR,В рулоне. Прямоугольные этикетки.  Цвет - зеленый. Размер 22х12 мм. 800 шт/рул,29.98
"Сменный блок  для тетрадей на кольцах SPONSOR, бирюзовый, тонированный, 50 л.",A17245,SPN 5003/R,SPONSOR,"Офсетная бумага плотностью 65 г/м2. Формат А5. Клетка. Синий, тонированный, 50 листов",30.13
"Сменный блок  для тетрадей на кольцах SPONSOR, розовый, тонированный, 50 л.",A18084,SPN 5004/R,SPONSOR,"Офсетная бумага плотностью 65 г/м2. Формат А5. Клетка. Розовый, тонированный, 50 листов",30.13
"Сменный блок  для тетрадей на кольцах SPONSOR, фиолетовый, тонированный, 50 л.",A17198,SPN 5002/R,SPONSOR,"Офсетная бумага плотностью 65 г/м2. Формат А5. Клетка. Желтый, тонированный, 50 листов",30.13
"Сменный блок  для тетрадей на кольцах SPONSOR, бежевый, тонированный, 50 л.",A17197,SPN 5001/R,SPONSOR,"Офсетная бумага плотностью 65 г/м2. Формат А5. Клетка. Бежевый, тонированный, 50 листов",30.13
"Этикетка для этикет-пистолета 22х12 мм, белая, 1000 шт./рул.",F00641,SPT1000W,SPONSOR,В рулоне. Прямоугольные этикетки. Цвет - белый. Размер 22х12 мм. 1000 шт/рул,30.28
"Записная книжка ACTION! АРХИТЕКТУРА, на гребне, кл., уф-лак, ф. А6, 80 л, 4 дизайна",00-00027321,AN-6/80-4,Action!,"Записная книжка ACTION! АРХИТЕКТУРА, на гребне, кл., уф-лак, ф. А6, 80 л, 4 дизайна",30.92
